dataset,num_rotations,bootstrap_size,num_trees,fold,accuracy,balanced_accuracy,f1_micro,f1_macro,precision,recall,jaccard
covtype,10,25,5,4,0.720104762561169,0.3888285815348607,0.720104762561169,0.3861838600803131,0.6860001282574253,0.720104762561169,0.5545235144741903
covtype,10,25,5,5,0.7225031985505629,0.40366863457469593,0.7225031985505629,0.40982398228621797,0.6940803503332857,0.7225031985505629,0.5574555085671193
covtype,10,50,5,1,0.7156417273368789,0.4030644493321575,0.7156417273368789,0.40069792420845934,0.7045758468044121,0.7156417273368789,0.5501085546703796
covtype,10,50,5,2,0.7146380798785694,0.4017113855015744,0.7146380798785694,0.41221844674435937,0.6876270471054781,0.7146380798785694,0.5485857191078043
covtype,10,50,5,3,0.721528780689086,0.4124330746485282,0.721528780689086,0.4278702670638899,0.6921447530338247,0.721528780689086,0.5569480024594432
covtype,10,50,5,4,0.7225773657729685,0.3909714387403938,0.7225773657729685,0.39083256695998436,0.6927438179435145,0.7225773657729685,0.557801594654658
covtype,10,50,5,5,0.721781914665247,0.3809338320065921,0.721781914665247,0.37692078294188386,0.6941233146977098,0.721781914665247,0.5561664440500718
covtype,50,10,1,1,0.7191184316965284,0.3938600562825147,0.7191184316965284,0.3910242805418325,0.6862626857864511,0.7191184316965284,0.5537198111404955
covtype,50,10,1,2,0.7220205086631422,0.3973720249634982,0.7220205086631422,0.3957562545998473,0.6889323413596542,0.7220205086631422,0.5576122272198771
covtype,50,10,1,3,0.7216835155766453,0.39942952796426806,0.7216835155766453,0.39602555436180115,0.6880963125011501,0.7216835155766453,0.5571169348462468
covtype,50,10,1,4,0.7268850368736646,0.39642504368117193,0.7268850368736646,0.39504237420607363,0.7170964031068523,0.7268850368736646,0.5631423631494644
covtype,50,10,1,5,0.7217132209618836,0.3987491145016935,0.7217132209618836,0.39696922615947966,0.6927339906158997,0.7217132209618836,0.5570622835935229
covtype,50,25,1,1,0.720056453417325,0.39517653498729705,0.720056453417325,0.3914908153362448,0.687286498109834,0.720056453417325,0.5550195134590463
covtype,50,25,1,2,0.7251511414304318,0.4002191579868503,0.7251511414304318,0.39978353045611664,0.6919513787132366,0.7251511414304318,0.561500125078898
covtype,50,25,1,3,0.7226978887284231,0.4027394673490603,0.7226978887284231,0.3998121941793499,0.6893839199917978,0.7226978887284231,0.5585601853490859
covtype,50,25,1,4,0.7248432007719346,0.3978402992646078,0.7248432007719345,0.39733080523262904,0.6952984526244284,0.7248432007719346,0.5607871866548448
covtype,50,25,1,5,0.7238255523403087,0.39785695088728373,0.7238255523403087,0.3960805770410352,0.6957161500428137,0.7238255523403087,0.5594063215274488
covtype,50,50,1,1,0.7207449097261664,0.39605519459210636,0.7207449097261664,0.39300749713586347,0.6876647634038355,0.7207449097261664,0.5557205594343035
covtype,50,50,1,2,0.7216755353554519,0.3970618335783725,0.7216755353554519,0.3951608455854598,0.688575949782434,0.7216755353554519,0.5571016483799937
covtype,50,50,1,3,0.7235403342273571,0.40177621644161204,0.7235403342273571,0.39924697710847123,0.6903312179413708,0.7235403342273571,0.5594429176531298
covtype,50,50,1,4,0.7237921290233648,0.39691027496148834,0.7237921290233648,0.3953049491847137,0.6894963980246053,0.7237921290233648,0.5595538496628475
covtype,50,50,1,5,0.7224345048471994,0.4004273204892529,0.7224345048471993,0.39756747415394406,0.6934163936219704,0.7224345048471994,0.5580154592757511
covtype,5,10,10,1,0.7188344434691314,0.4209492191989708,0.7188344434691314,0.42882407102776077,0.7097550637534987,0.7188344434691314,0.5543782707954111
covtype,5,10,10,2,0.7165526817362506,0.39372487639545245,0.7165526817362505,0.40460326925570517,0.7102800416606726,0.7165526817362506,0.5504724375931164
covtype,5,10,10,3,0.7178581253008733,0.3915649824807404,0.7178581253008733,0.3911053732607888,0.6854282800065814,0.7178581253008733,0.5527210939005077
covtype,5,10,10,4,0.7161244744641257,0.39613913256064714,0.7161244744641259,0.4047841548752615,0.7058908593289244,0.7161244744641257,0.550500631959943
covtype,5,10,10,5,0.7127229325341966,0.36109873559569333,0.7127229325341965,0.35667732464575763,0.712072370864245,0.7127229325341966,0.5443304486338428
covtype,5,25,10,1,0.7161752809762311,0.4021220279750751,0.7161752809762311,0.3992466587070723,0.7071420658011265,0.7161752809762311,0.5508674652615764
covtype,5,25,10,2,0.715931729782408,0.3962468932652928,0.715931729782408,0.4080694307216395,0.7054175513103016,0.715931729782408,0.5503024071607511
covtype,5,25,10,3,0.7242968158998694,0.44658665088441557,0.7242968158998694,0.4656546588944959,0.6938592331997415,0.7242968158998694,0.5610955063544766
covtype,5,25,10,4,0.7157540147494659,0.38991561823745025,0.7157540147494658,0.3931572247264619,0.7085059621649152,0.7157540147494659,0.5497384752698987
covtype,5,25,10,5,0.721137911196215,0.4031434189151352,0.721137911196215,0.40588982989798283,0.7147006623596555,0.721137911196215,0.556289361440273
covtype,5,50,10,1,0.7117175263764823,0.40759353565721745,0.7117175263764823,0.4082855616109172,0.6867023031466768,0.7117175263764823,0.5456061812602586
covtype,5,50,10,2,0.7182947969400868,0.4132510918008463,0.7182947969400867,0.4294295515198384,0.7074036146907554,0.7182947969400868,0.5534266133188438
covtype,5,50,10,3,0.7184598720858263,0.4202489813109052,0.7184598720858264,0.4378756792819983,0.6887498533881408,0.7184598720858263,0.552763853517746
covtype,5,50,10,4,0.7154094010614102,0.39178016971713664,0.7154094010614102,0.39805582510798054,0.7071032534199818,0.7154094010614102,0.5494828213711704
covtype,5,50,10,5,0.7178577868606119,0.3799156790511189,0.7178577868606117,0.3843064202757857,0.709631890168711,0.7178577868606119,0.5519975863831825
covtype,5,10,20,1,0.711597046522435,0.3991445201980078,0.711597046522435,0.39521441133847723,0.6936156627506426,0.711597046522435,0.5453585060756877
covtype,5,10,20,2,0.7171218876939397,0.395589375204942,0.7171218876939397,0.4029750066154714,0.7057967424368115,0.7171218876939397,0.5517114225117108
covtype,5,10,20,3,0.7177205831785984,0.4303655456555183,0.7177205831785984,0.45158991896133543,0.6883269704622674,0.7177205831785984,0.5524235076618129
covtype,5,10,20,4,0.7147546350541043,0.42104005160754315,0.7147546350541043,0.44435785673906175,0.709007647430279,0.7147546350541043,0.5491074211655855
covtype,5,10,20,5,0.7145433156733271,0.3630411019213428,0.7145433156733271,0.3595430786913269,0.712493070798303,0.7145433156733271,0.5466228696599746
covtype,5,25,20,1,0.7142045747921723,0.39794823834242593,0.7142045747921721,0.39412119644316007,0.7110151732087174,0.7142045747921723,0.54834582463786
covtype,5,25,20,2,0.717165009357401,0.4096161727649527,0.717165009357401,0.42393228139126504,0.7108367721828154,0.717165009357401,0.5517502734841864
covtype,5,25,20,3,0.7187865346262293,0.43965204359806176,0.7187865346262293,0.457768564280434,0.7054730717995072,0.7187865346262293,0.5539124885830584
covtype,5,25,20,4,0.716417396098973,0.40412657840212646,0.716417396098973,0.4052181657497687,0.7090480183438352,0.716417396098973,0.5508599220129996
covtype,5,25,20,5,0.7187593917172567,0.3740198706029466,0.7187593917172566,0.37081013339414826,0.7160774549810539,0.7187593917172567,0.5520628231876106
covtype,5,50,20,1,0.713817318118449,0.4070234608004153,0.713817318118449,0.4066638873077016,0.6841203693649105,0.713817318118449,0.5477913060488655
covtype,5,50,20,2,0.7123612560478133,0.4112952933415085,0.7123612560478132,0.4343015467254087,0.7031671683980281,0.7123612560478133,0.5461931606568663
covtype,5,50,20,3,0.7181418059280654,0.4288050744106426,0.7181418059280654,0.4475435860598619,0.6987890990955185,0.7181418059280654,0.5531808128081941
covtype,5,50,20,4,0.7168826245778482,0.3928125925662716,0.7168826245778481,0.39344868408853534,0.6861230285128824,0.7168826245778482,0.5512311733850587
covtype,5,50,20,5,0.7211550846220558,0.39389629595515807,0.7211550846220557,0.4029954650037394,0.7136796958480744,0.7211550846220558,0.5569058277515364
covtype,5,10,2,1,0.7130255933632812,0.3990482638558469,0.7130255933632811,0.39864705842123416,0.6905476516265233,0.7130255933632812,0.5475068403003847
covtype,5,10,2,2,0.7147156988727997,0.3962994251764342,0.7147156988727996,0.4089328834245897,0.7088416383142606,0.7147156988727997,0.5481608714626462
covtype,5,10,2,3,0.7161216560071522,0.4375095698929465,0.7161216560071523,0.45561577517185714,0.6859078742422039,0.7161216560071522,0.5508460319928229
covtype,5,10,2,4,0.7122044937624923,0.3943280977194473,0.7122044937624923,0.40118454105571283,0.7028871618552854,0.7122044937624923,0.5457876063225197
covtype,5,10,2,5,0.7199958783777982,0.3911178220655359,0.7199958783777983,0.3902964564852625,0.7152750916551731,0.7199958783777982,0.55479875005186
covtype,5,25,2,1,0.7166830175040017,0.4003360483845163,0.7166830175040017,0.3991992293090595,0.7030662830732839,0.7166830175040017,0.5513159931162773
covtype,5,25,2,2,0.7204853774439203,0.420664064954989,0.7204853774439203,0.44186282221588424,0.7117881537205286,0.7204853774439203,0.5561594162682908
covtype,5,25,2,3,0.7184942576163951,0.4259592936222966,0.718494257616395,0.4462024727017192,0.7038087608835001,0.7184942576163951,0.5530240063896311
covtype,5,25,2,4,0.7171238541594872,0.3876848475111693,0.7171238541594871,0.402955198090202,0.7081350316492667,0.7171238541594872,0.5515566285760631
covtype,5,25,2,5,0.715144385577757,0.3969780314591264,0.715144385577757,0.41172131783849386,0.7118661157112987,0.715144385577757,0.5479847074298821
covtype,5,50,2,1,0.7123801655737423,0.3984025845910351,0.7123801655737422,0.3944255234481024,0.6841449762298846,0.7123801655737423,0.5461299622606315
covtype,5,50,2,2,0.7112055954670508,0.4146990477812579,0.7112055954670506,0.4319018249858271,0.7007054586175828,0.7112055954670508,0.5452737804779865
covtype,5,50,2,3,0.7177979506223781,0.4315649024097073,0.7177979506223781,0.45258883108309184,0.7176099665470171,0.7177979506223781,0.5524486817486604
covtype,5,50,2,4,0.7097491212350955,0.3800508707280273,0.7097491212350955,0.3815923242502831,0.7061353359934959,0.7097491212350955,0.5423268580291495
covtype,5,50,2,5,0.72284666706738,0.3912449855787302,0.72284666706738,0.39265194240826956,0.7163378332311259,0.72284666706738,0.558531060281901
epsilon,100,10,1,1,0.8056358110389854,0.8056296267892352,0.8056358110389854,0.8056319358595798,0.8056377121391615,0.8056358110389854,0.6745298709949611
epsilon,100,10,1,2,0.6733884090624609,0.673388524864583,0.6733884090624609,0.6733880217283269,0.6733894675660708,0.6733884090624609,0.5075999032338212
epsilon,100,10,1,3,0.7361280982452637,0.7361236111073106,0.7361280982452637,0.7361235951656988,0.7361327069404848,0.7361280982452637,0.5824363999754623
epsilon,100,10,1,4,0.7833841615838416,0.7833842653965386,0.7833841615838417,0.7833832624995895,0.7833891454534293,0.7833841615838416,0.6439032648818649
epsilon,100,10,1,5,0.7598690376516751,0.7598683920808049,0.759869037651675,0.7598659488652235,0.7598807416696719,0.7598690376516751,0.6127298682690615
epsilon,100,25,1,1,0.8046352231936262,0.8046377897379426,0.8046352231936262,0.8046349236584769,0.8046394425226728,0.8046352231936262,0.6731300085601868
epsilon,100,25,1,2,0.7683815245963199,0.7683816501251033,0.7683815245963199,0.7683812039364112,0.7683833337926239,0.7683815245963199,0.6238791255880276
epsilon,100,25,1,3,0.7497691136460075,0.749764453917003,0.7497691136460075,0.7497645548084964,0.7497748616654908,0.7497691136460075,0.5997018670080755
epsilon,100,25,1,4,0.7323892610738926,0.7323892672786247,0.7323892610738926,0.7323892590254075,0.732389282323729,0.7323892610738926,0.5777714200321192
epsilon,100,25,1,5,0.7995951164040338,0.7995944136689057,0.7995951164040338,0.7995920699513799,0.7996113458760868,0.7995951164040338,0.6661011988898966
epsilon,100,50,1,1,0.8061611196577989,0.8061577907731663,0.8061611196577989,0.8061588596927536,0.8061609834681663,0.8061611196577989,0.675267802911297
epsilon,100,50,1,2,0.7721116535235949,0.7721117815966716,0.7721116535235949,0.7721113244595983,0.7721135574935604,0.7721116535235949,0.6288121998761589
epsilon,100,50,1,3,0.7643586351496393,0.7643575175656254,0.7643586351496392,0.7643577982757055,0.7643585286677683,0.7643586351496393,0.6185925942453584
epsilon,100,50,1,4,0.8032946705329467,0.8032947800192853,0.8032946705329466,0.8032937614401867,0.8033005845219913,0.8032946705329467,0.6712541056106194
epsilon,100,50,1,5,0.790260300163703,0.7902599554882463,0.790260300163703,0.7902594721320325,0.7902639183340517,0.790260300163703,0.6532473868692529
epsilon,10,10,10,1,0.7856490688279364,0.7856406326733278,0.7856490688279364,0.7856431818037526,0.78565342276419,0.7856490688279364,0.6469679281380699
epsilon,10,10,10,2,0.7771686068343973,0.7771686196412781,0.7771686068343973,0.7771686062757837,0.7771686385516774,0.7771686068343973,0.6355484563150388
epsilon,10,10,10,3,0.7643336744627213,0.7643340271924655,0.7643336744627213,0.764333489421859,0.7643344454172512,0.7643336744627213,0.6185601355700069
epsilon,10,10,10,4,0.775972402759724,0.775972463437519,0.775972402759724,0.7759720935230461,0.775974086400405,0.775972402759724,0.6339497330038524
epsilon,10,10,10,5,0.7710033365407445,0.771002843617285,0.7710033365407445,0.771001574123277,0.7710103681396021,0.7710033365407445,0.6273419770766907
epsilon,10,25,10,1,0.7845234075019074,0.7845144199132676,0.7845234075019074,0.7845170289522512,0.7845286796852797,0.7845234075019074,0.6454423007081486
epsilon,10,25,10,2,0.7768681937664288,0.7768684221627712,0.7768681937664288,0.7768671108272098,0.7768741714865172,0.7768681937664288,0.6351455023820146
epsilon,10,25,10,3,0.7639967051893268,0.7639935466849108,0.7639967051893268,0.7639941818342514,0.7639988666508348,0.7639967051893268,0.6181174790471436
epsilon,10,25,10,4,0.7790845915408459,0.7790848515615514,0.7790845915408459,0.7790787048550558,0.7791150349687987,0.7790845915408459,0.6381085819616154
epsilon,10,25,10,5,0.7735026179973258,0.7735025280549983,0.7735026179973258,0.773502529572603,0.7735027901392394,0.7735026179973258,0.6306597592801858
epsilon,10,50,10,1,0.7859117231373431,0.785907056965171,0.7859117231373431,0.7859085460347678,0.785911881974359,0.7859117231373431,0.6473261579799398
epsilon,10,50,10,2,0.7828389034923019,0.7828392836153144,0.7828389034923019,0.7828359021461639,0.7828555602259853,0.7828389034923019,0.6431644267124262
epsilon,10,50,10,3,0.768127698874273,0.7681236119695941,0.768127698874273,0.7681241605531189,0.7681323891928382,0.768127698874273,0.6235428790492474
epsilon,10,50,10,4,0.7813468653134686,0.7813471097179531,0.7813468653134686,0.7813417229526703,0.7813739901597645,0.7813468653134686,0.6411503248330189
epsilon,10,50,10,5,0.7757769641228147,0.7757763308229011,0.7757769641228147,0.7757741795781982,0.775788964572566,0.7757769641228147,0.6336864014829527
epsilon,10,10,1,1,0.7726664415344014,0.7726629338085484,0.7726664415344014,0.7726638297483794,0.7726661056017677,0.7726664415344014,0.6295488104807773
epsilon,10,10,1,2,0.7630116410063837,0.7630114468529434,0.7630116410063837,0.7630106785175776,0.7630154087953681,0.7630116410063837,0.6168291356553642
epsilon,10,10,1,3,0.7610388637895315,0.7610340998450875,0.7610388637895313,0.7610343302287528,0.7610455134844499,0.7610388637895315,0.6142528680975876
epsilon,10,10,1,4,0.7675732426757325,0.7675734095612872,0.7675732426757325,0.7675707120269415,0.7675853300185029,0.7675732426757325,0.6228117359811303
epsilon,10,10,1,5,0.7689914149681967,0.768990521423132,0.7689914149681967,0.7689858431871961,0.7690150158753083,0.7689914149681967,0.6246783460775128
epsilon,10,25,1,1,0.7794954535789776,0.7794804543905953,0.7794954535789778,0.7794825753600335,0.7795167077791988,0.7794954535789776,0.6386585453196237
epsilon,10,25,1,2,0.7760420578295156,0.7760419502944169,0.7760420578295156,0.7760417608285531,0.7760432313745328,0.7760420578295156,0.6340427859342221
epsilon,10,25,1,3,0.7608391782941867,0.7608353328965992,0.7608391782941867,0.7608358479314721,0.7608429112566721,0.7608391782941867,0.6139937193976047
epsilon,10,25,1,4,0.777009799020098,0.7770098528268607,0.7770097990200979,0.7770095590397921,0.7770111334388915,0.777009799020098,0.6353358012124032
epsilon,10,25,1,5,0.7714032215737975,0.7714018807144998,0.7714032215737974,0.7713910460045978,0.7714575105311129,0.7714032215737975,0.6278606716421005
epsilon,10,50,1,1,0.781346541092892,0.781347781907562,0.781346541092892,0.7813459360428331,0.7813490302607504,0.781346541092892,0.6411563030411008
epsilon,10,50,1,2,0.7748904744023032,0.7748905899687984,0.7748904744023032,0.7748902135429361,0.7748920497228147,0.7748904744023032,0.632506784897082
epsilon,10,50,1,3,0.7655567481217083,0.7655560007281261,0.7655567481217083,0.7655561214579725,0.7655566640496692,0.7655567481217083,0.6201636559846463
epsilon,10,50,1,4,0.7794345565443456,0.7794348128166756,0.7794345565443456,0.7794288487186805,0.779464168511056,0.7794345565443456,0.6385784606864521
epsilon,10,50,1,5,0.7752146257950839,0.7752138308496046,0.7752146257950838,0.7752103010453443,0.775233681348852,0.7752146257950839,0.6329346986029266
epsilon,10,10,5,1,0.7819719084962415,0.7819631736833333,0.7819719084962415,0.7819656896321954,0.7819765812758429,0.7819719084962415,0.6419956319901741
epsilon,10,10,5,2,0.7725998247590437,0.7725998513080017,0.7725998247590437,0.7725998167424757,0.7725999282472912,0.7725998247590437,0.6294604015337119
epsilon,10,10,5,3,0.7599281132216759,0.7599285482946646,0.7599281132216757,0.7599279503361306,0.7599290100109467,0.7599281132216759,0.6128099339727945
epsilon,10,10,5,4,0.7763098690130987,0.7763099403146125,0.7763098690130986,0.7763094384599311,0.7763121845976558,0.7763098690130987,0.6344002038882376
epsilon,10,10,5,5,0.7708533796533497,0.7708532193458482,0.7708533796533497,0.770853150638203,0.7708540246886149,0.7708533796533497,0.6271449911612494
epsilon,10,25,5,1,0.7854739659549985,0.7854637632990165,0.7854739659549985,0.7854665209093998,0.7854817917374494,0.7854739659549985,0.6467292573098555
epsilon,10,25,5,2,0.7771310552009012,0.7771310767815179,0.7771310552009012,0.7771310509756739,0.7771311285163597,0.7771310552009012,0.6354982255698126
epsilon,10,25,5,3,0.7684771484911265,0.7684758928025248,0.7684771484911264,0.7684762368101429,0.7684770807394818,0.7684771484911265,0.6240055100156582
epsilon,10,25,5,4,0.7795470452954705,0.779547125978201,0.7795470452954705,0.7795464985423595,0.7795500332677141,0.7795470452954705,0.6387352168772489
