dataset,algorithm,num_rotations,fold,train_time,predict_time,accuracy,balanced_accuracy,f1_micro,f1_macro,precision,recall,jaccard
covtype,rotf,10,3,45259703002.0,18298.0,0.722891254687298,0.41751634504631674,0.7228912546872981,0.43716050411163737,0.7225278697068587,0.722891254687298,0.5589815082845855
covtype,rotf,10,4,44934200849.0,18787.0,0.723980695909044,0.39071858397412323,0.723980695909044,0.3919398557585193,0.6948786283953183,0.723980695909044,0.5596181927809539
covtype,rotf,10,5,43742963143.0,18897.0,0.723313363302705,0.385210440960979,0.723313363302705,0.38168184273567446,0.6917368799719188,0.723313363302705,0.5582087751765091
covtype,rotf,100,1,473308004355.0,55095.0,0.7220122529985331,0.3963046374267609,0.7220122529985331,0.3940853350397763,0.6888842770097248,0.7220122529985331,0.557265850486159
covtype,rotf,100,2,437761615696.0,52085.0,0.7221467624909735,0.3923112835534113,0.7221467624909735,0.39157160206345726,0.6887989938117973,0.7221467624909735,0.5575898497725889
covtype,rotf,100,3,451042931786.0,51171.0,0.7230291797767338,0.40475880509257006,0.7230291797767336,0.40826588098857564,0.6945201674975755,0.7230291797767338,0.5587014236320031
covtype,rotf,100,4,492364919100.0,52035.0,0.7251485590629616,0.3979213483871769,0.7251485590629616,0.3973446296257706,0.6965834457801533,0.7251485590629616,0.561337358276886
covtype,rotf,100,5,487563053791.0,64903.0,0.7216544468416122,0.40105662678281734,0.7216544468416122,0.402420152659745,0.6929138674566762,0.7216544468416122,0.5569489085194133
covtype,rotf,50,1,232439094058.0,38866.0,0.7225731296919493,0.39666608967826306,0.7225731296919493,0.3942958628858401,0.6891733946653669,0.7225731296919493,0.5579390941914631
covtype,rotf,50,2,210453374276.0,33520.0,0.7231955572366837,0.39980609159802327,0.7231955572366837,0.40073273690750427,0.7147428331277913,0.7231955572366837,0.5592020071421552
covtype,rotf,50,3,206428161979.0,35858.0,0.7249515107107453,0.4045199038807475,0.7249515107107453,0.40224115148442546,0.6964501200735234,0.7249515107107453,0.5612312489954158
covtype,rotf,50,4,211363888875.0,30342.0,0.7246419125476591,0.3967012674973878,0.7246419125476591,0.39526323435491395,0.6914295525884201,0.7246419125476591,0.5605486242794439
